FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
06/01/23,7,19,15,-99,27,32,30,23,28,-99,36,16,27,25,29,37,-99,33,-99,-99,39,34,17,6,30,-99,32,29,-99,-99,21,33,-99,25,33,32,-99
06/01/23,8,18,14,-99,26,29,31,21,23,-99,37,24,29,25,29,38,-99,36,-99,-99,42,34,19,6,26,-99,32,28,-99,-99,22,33,-99,26,35,29,-99
06/01/23,9,19,17,-99,30,35,38,28,29,-99,37,21,31,25,32,44,-99,42,-99,-99,42,38,26,7,30,-99,39,29,-99,-99,23,38,-99,27,35,35,-99
06/01/23,10,23,22,-99,40,43,51,32,29,-99,35,24,41,23,42,49,-99,41,-99,-99,50,42,24,7,32,-99,51,32,-99,-99,20,54,-99,26,42,38,-99
06/01/23,11,20,29,-99,47,53,63,31,27,-99,32,27,44,21,47,64,-99,45,-99,-99,52,-99,16,6,31,-99,50,35,-99,-99,15,65,-99,25,32,26,-99
06/01/23,12,19,31,-99,-99,51,62,35,29,-99,22,34,40,25,42,65,-99,53,-99,-99,56,63,13,8,22,-99,-99,32,-99,-99,13,54,-99,33,36,18,-99
06/01/23,13,11,13,-99,-99,35,44,28,22,-99,24,21,37,26,30,40,-99,48,-99,-99,42,43,10,3,18,-99,-99,32,-99,-99,14,34,-99,32,35,18,-99
06/01/23,14,9,14,-99,-99,20,34,15,25,-99,19,12,26,12,18,23,-99,24,-99,-99,20,27,6,3,17,-99,-99,15,-99,-99,14,27,-99,15,15,6,-99
06/01/23,15,8,15,-99,11,15,30,17,16,-99,16,13,24,6,11,22,-99,19,-99,-99,19,21,4,6,12,-99,-99,12,-99,-99,14,34,-99,16,13,5,-99
06/01/23,16,12,18,-99,13,15,27,17,16,-99,19,17,27,7,8,26,-99,20,-99,-99,20,25,6,6,10,-99,13,12,-99,-99,12,35,-99,16,10,5,-99
06/01/23,17,9,19,-99,18,18,24,18,20,-99,22,22,31,9,9,25,-99,19,-99,-99,31,24,6,5,15,-99,14,16,-99,-99,17,30,-99,14,15,8,-99
06/01/23,18,10,31,-99,21,20,28,21,18,-99,25,26,45,8,13,23,-99,25,-99,-99,25,32,6,3,18,-99,14,15,-99,-99,17,45,-99,15,18,10,-99
06/01/23,19,17,24,-99,30,42,72,33,27,-99,61,40,69,33,31,41,-99,57,-99,-99,53,70,17,4,27,-99,16,44,-99,-99,17,61,-99,33,25,30,-99
06/01/23,20,16,22,-99,25,67,74,42,35,-99,80,60,57,29,40,54,-99,57,-99,-99,50,65,18,3,30,-99,23,41,-99,-99,14,63,-99,32,24,34,-99
06/01/23,21,15,28,-99,24,69,48,50,43,-99,51,42,53,35,32,56,-99,66,-99,-99,68,51,28,4,25,-99,31,38,-99,-99,33,45,-99,40,48,22,-99
06/01/23,22,16,28,-99,20,44,51,53,37,-99,26,38,19,43,45,48,-99,66,-99,-99,54,33,44,5,48,-99,24,37,-99,-99,39,45,-99,62,55,32,-99
