FECHA,HORA,ESTACION,CO,NO,NO2,NOX,O3,PM10,PM25,PMCO,SO2,RH,TMP,WDR,WSP
2023-01-01,5,GAM,0.355,3.0,25.0,24.0,3.0,229.0,176.0,53.0,1.0,78.0,10.7,95.0,0.4
2023-01-01,5,HGM,1.06,32.0,27.0,59.0,3.0,52.5,23.0,29.0,2.0,60.0,11.4,36.0,1.0
2023-01-01,5,INN,0.11,3.0,19.0,24.0,14.0,5.0,4.0,1.0,0.0,89.0,2.3,65.0,0.4
2023-01-01,5,IZT,1.41,43.0,28.0,71.0,2.0,138.0,23.0,16.0,3.0,51.0,17.4,163.0,1.8
2023-01-01,5,LAA,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,80.0,9.9,214.0,0.2
2023-01-01,5,LLA,0.355,3.0,19.0,24.0,5.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,5,LPR,1.24,3.0,19.0,24.0,3.0,45.0,23.0,16.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,5,MER,1.38,47.0,27.0,74.0,2.0,96.0,84.0,12.0,2.0,74.0,10.9,105.0,0.8
2023-01-01,5,MGH,1.3,44.0,27.0,71.0,2.0,45.0,23.0,16.0,2.0,35.5,19.9,205.0,1.9
2023-01-01,5,MON,1.77,56.0,16.0,72.0,6.0,45.0,135.0,16.0,2.0,77.0,7.7,52.0,0.1
2023-01-01,5,MPA,0.16,3.0,3.0,24.0,31.0,12.0,10.0,3.0,1.0,79.0,15.5,216.0,1.3
2023-01-01,5,NEZ,1.6,49.0,28.0,76.0,3.0,195.0,175.0,16.0,6.0,64.0,11.3,348.0,1.2
2023-01-01,5,PED,0.47,3.0,17.0,19.0,7.0,37.0,22.0,15.5,1.0,64.0,9.3,209.0,1.0
2023-01-01,5,SAC,2.96,118.0,26.0,144.0,4.0,45.0,269.0,16.0,1.0,79.0,16.6,332.0,0.1
2023-01-01,5,SAG,1.69,65.0,22.0,87.0,3.0,230.0,189.0,41.0,2.0,87.0,10.2,47.0,0.2
2023-01-01,5,SFE,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,5,SJA,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,5,TAH,0.77,12.0,13.0,25.0,9.0,79.0,23.0,16.0,1.0,67.0,8.0,157.0,1.1
2023-01-01,5,TLA,1.11,36.0,24.0,61.0,1.0,76.0,64.0,12.0,1.0,68.0,9.5,320.0,1.2
2023-01-01,5,TLI,0.4,4.0,22.0,30.0,34.0,45.0,23.0,16.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,5,UAX,0.27,16.0,22.0,38.0,3.0,45.0,105.0,16.0,1.0,76.0,8.2,193.0,0.8
2023-01-01,5,UIZ,1.12,24.0,26.0,50.0,3.0,136.0,118.0,18.0,2.0,82.0,10.5,233.0,0.8
2023-01-01,5,VIF,2.32,73.0,22.0,95.0,8.0,295.0,23.0,16.0,5.0,76.0,6.1,292.0,0.0
